Locality,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Dist,Train,Tram,Group,Pré,Pan,Pós,Transport,Train,Tram,Bouth
GOLDEN POINT (BALLARAT),265000,265000,259500,295000,302500,347500,370000,430000,510000,545000,570000,Regional Victoria,#N/A,#N/A,Regional Victoria,22.31%,37.84%,11.76%,#N/A,#N/A,#N/A,#N/A
GOLDEN SQUARE,295000,305000,306000,315000,320000,334000,340000,377500,469500,542500,515000,Regional Victoria,#N/A,#N/A,Regional Victoria,6.25%,38.09%,9.69%,#N/A,#N/A,#N/A,#N/A
GORDON,278500,303000,290000,330000,404000,402500,495000,618000,632500,690000,675000,Regional Victoria,#N/A,#N/A,Regional Victoria,22.52%,27.78%,6.72%,#N/A,#N/A,#N/A,#N/A
GOUGHS BAY,257500,247500,265000,235000,257500,345500,299500,360000,499500,710000,580000,Regional Victoria,#N/A,#N/A,Regional Victoria,16.31%,66.78%,16.12%,#N/A,#N/A,#N/A,#N/A
GOWANBRAE,620000,557500,573000,619000,790000,727500,700500,739000,940000,902500,865000,15,Não,Não,Inner suburbs,-11.33%,34.19%,-7.98%,None,0,0,0
GRANTVILLE,215000,255000,250000,272500,339500,402500,397500,440000,540000,620000,595000,Regional Victoria,#N/A,#N/A,Regional Victoria,17.08%,35.85%,10.19%,#N/A,#N/A,#N/A,#N/A
GREEN LAKE,262500,254500,281500,305000,280000,270000,290000,360000,384500,440000,433000,Regional Victoria,#N/A,#N/A,Regional Victoria,3.57%,32.59%,12.61%,#N/A,#N/A,#N/A,#N/A
GREENSBOROUGH,534000,574000,635000,717000,830000,815000,798000,850000,1001000,1000000,970000,20,Sim,Não,Inner suburbs,-3.86%,25.44%,-3.10%,Train only,1,0,0
GREENVALE,550000,539500,500000,510000,650000,720000,715000,720000,820000,881000,845000,22,Não,Não,Middle ring,10.00%,14.69%,3.05%,None,0,0,0
GROVEDALE,352000,362000,370000,400000,432000,495000,505000,550000,655000,700000,660000,Regional Victoria,#N/A,#N/A,Regional Victoria,16.90%,29.70%,0.76%,#N/A,#N/A,#N/A,#N/A
HADFIELD,461500,500000,550000,624500,740500,741500,730000,745000,890000,888000,860000,11,Sim,Não,Inner suburbs,-1.42%,21.92%,-3.37%,Train only,1,0,0
HALLAM,362500,380000,424000,455000,580000,630000,550000,600000,700000,720000,714000,37,Não,Não,Outer ring,-5.17%,27.27%,2.00%,None,0,0,0
HALLS GAP,184500,224500,245000,272500,280000,355000,320000,350000,465000,570000,555000,Regional Victoria,#N/A,#N/A,Regional Victoria,14.29%,45.31%,19.35%,#N/A,#N/A,#N/A,#N/A
HAMILTON,192500,200000,200000,216000,190000,225000,209500,255000,339000,357000,370000,Regional Victoria,#N/A,#N/A,Regional Victoria,10.26%,61.81%,9.14%,#N/A,#N/A,#N/A,#N/A
HAMLYN HEIGHTS,363500,366500,382500,415000,500000,545000,540000,563500,708000,769500,740000,Regional Victoria,#N/A,#N/A,Regional Victoria,8.00%,31.11%,4.52%,#N/A,#N/A,#N/A,#N/A
HAMPTON,1270000,1340000,1650000,1800000,2020000,1905000,1900000,2000000,2420000,2341000,2370000,13,Sim,Não,Inner suburbs,-5.94%,27.37%,-2.07%,Train only,1,0,0
HAMPTON EAST,770000,862500,1020000,1200000,1340000,1230000,1211500,1290500,1512500,1610000,1475000,13,Não,Não,Inner suburbs,-9.59%,24.85%,-2.48%,None,0,0,0
HAMPTON PARK,330000,337500,370000,410000,505000,550000,501500,539000,620000,665000,644500,38,Não,Não,Outer ring,-0.69%,23.63%,3.95%,None,0,0,0
HARCOURT,309000,358000,295000,377500,385000,375000,420000,527500,604000,705000,697500,Regional Victoria,#N/A,#N/A,Regional Victoria,9.09%,43.81%,15.48%,#N/A,#N/A,#N/A,#N/A
HARKNESS,330000,340000,350000,360000,420000,485000,475000,490000,535000,595000,580000,40,Não,Não,Outer ring,13.10%,12.63%,8.41%,None,0,0,0
HASTINGS,345000,368000,365000,400000,507500,519500,506000,562000,651000,736500,715000,57,Não,Não,Fringe,-0.30%,28.66%,9.83%,None,0,0,0
HASTINGS WEST,280000,277000,289500,338000,425000,480000,430000,487500,590000,660000,605000,Regional Victoria,#N/A,#N/A,Regional Victoria,1.18%,37.21%,2.54%,#N/A,#N/A,#N/A,#N/A
HAWTHORN,1575000,1606500,1916500,2245000,2650000,2506500,2200000,2525000,2900000,2495000,2720000,5,Sim,Sim,Inner city,-16.98%,31.82%,-6.21%,Train and Tram,1,1,1
HAWTHORN EAST,1247500,1554000,1850000,1890000,2350000,2221500,2087500,2383000,2300000,2655000,2750000,6,Sim,Sim,Inner city,-11.17%,10.18%,19.57%,Train and Tram,1,1,1
HEALESVILLE,385500,400000,447500,457000,550000,601000,580000,602500,750000,810000,810000,55,Não,Não,Fringe,5.45%,29.31%,8.00%,None,0,0,0
HEATHCOTE,227500,260000,240000,268500,275000,310000,335000,365000,390000,480000,485000,Regional Victoria,#N/A,#N/A,Regional Victoria,21.82%,16.42%,24.36%,#N/A,#N/A,#N/A,#N/A
HEATHCOTE JUNCTION,372500,422000,380000,437500,567000,594500,600000,738000,885000,905000,815000,Regional Victoria,#N/A,#N/A,Regional Victoria,5.82%,47.50%,-7.91%,#N/A,#N/A,#N/A,#N/A
HEATHERTON,630000,712000,771000,845000,981000,935000,965000,964000,1140000,1147000,1150000,18,Não,Não,Inner suburbs,-1.63%,18.13%,0.88%,None,0,0,0
HEATHMONT,589000,638000,760000,789000,925000,932000,873000,930000,1094000,1077000,1068000,26,Sim,Não,Middle ring,-5.62%,25.32%,-2.38%,Train only,1,0,0
HEIDELBERG,772500,831000,1060000,1150000,1280000,1114000,1107500,1283000,1500000,1435000,1437500,10,Sim,Não,Inner city,-13.48%,35.44%,-4.17%,Train only,1,0,0
HEIDELBERG HEIGHTS,536000,554000,675500,750000,843000,820000,790000,805000,1000000,1030000,1002000,11,Não,Não,Inner suburbs,-6.29%,26.58%,0.20%,None,0,0,0
HEIDELBERG WEST,425500,461000,580000,630000,730000,700000,670000,719500,810000,803500,750000,9,Não,Não,Inner city,-8.22%,20.90%,-7.41%,None,0,0,0
HEPBURN,291000,330000,395000,377000,440000,425000,452500,535000,695000,675000,737500,Regional Victoria,#N/A,#N/A,Regional Victoria,2.84%,53.59%,6.12%,#N/A,#N/A,#N/A,#N/A
HEPBURN SPRINGS,340000,350000,380000,418000,515000,490000,595000,570000,825000,900000,780000,Regional Victoria,#N/A,#N/A,Regional Victoria,15.53%,38.66%,-5.45%,#N/A,#N/A,#N/A,#N/A
HERNE HILL,350000,357000,368500,402000,490000,550000,534000,600000,738000,765000,715000,Regional Victoria,#N/A,#N/A,Regional Victoria,8.98%,38.20%,-3.12%,#N/A,#N/A,#N/A,#N/A
HEYFIELD,200000,180000,182500,195000,178500,193000,195000,230000,330000,370000,390000,Regional Victoria,#N/A,#N/A,Regional Victoria,9.24%,69.23%,18.18%,#N/A,#N/A,#N/A,#N/A
HEYWOOD,142000,150000,173000,160000,164000,166000,178000,185000,240000,322500,330000,Regional Victoria,#N/A,#N/A,Regional Victoria,8.54%,34.83%,37.50%,#N/A,#N/A,#N/A,#N/A
HIGHETT,750000,850000,992500,1175000,1318500,1275000,1234000,1325000,1585000,1477500,1455000,16,Sim,Não,Inner suburbs,-6.41%,28.44%,-8.20%,Train only,1,0,0
HIGHTON,477000,510000,505000,555000,622500,681000,690000,744000,887000,950000,911000,Regional Victoria,#N/A,#N/A,Regional Victoria,10.84%,28.55%,2.71%,#N/A,#N/A,#N/A,#N/A
HILLSIDE (BRIMBANK),380000,365000,450000,437500,535000,645000,525500,545000,620000,655000,548000,19,Não,Não,Inner suburbs,-1.78%,17.98%,-11.61%,None,0,0,0
HILLSIDE (MELTON),433500,445000,471000,537000,622000,648500,643500,690000,740000,800000,759000,30,Não,Não,Middle ring,3.46%,15.00%,2.57%,None,0,0,0
HOPETOUN,88000,95500,75000,80000,92000,86000,66000,150000,157000,189000,171000,Regional Victoria,#N/A,#N/A,Regional Victoria,-28.26%,137.88%,8.92%,#N/A,#N/A,#N/A,#N/A
HOPPERS CROSSING,321500,340000,365500,415000,516000,552000,526500,550000,585000,620000,615000,24,Sim,Não,Middle ring,2.03%,11.11%,5.13%,Train only,1,0,0
HORSHAM,215000,215000,240000,245000,262500,255000,269000,260000,345000,379000,400000,Regional Victoria,#N/A,#N/A,Regional Victoria,2.48%,28.25%,15.94%,#N/A,#N/A,#N/A,#N/A
HUGHESDALE,820000,856000,1165000,1222500,1407000,1260000,1150500,1300000,1507500,1500000,1400000,13,Sim,Não,Inner suburbs,-18.23%,31.03%,-7.13%,Train only,1,0,0
HUNTINGDALE,659000,728000,835000,924500,1132000,1010000,914000,1090000,1299500,1250000,1195000,16,Sim,Não,Inner suburbs,-19.26%,42.18%,-8.04%,Train only,1,0,0
HUNTLY,337500,325000,355000,340000,335000,357500,367500,383000,486500,570000,565000,Regional Victoria,#N/A,#N/A,Regional Victoria,9.70%,32.38%,16.14%,#N/A,#N/A,#N/A,#N/A
HURSTBRIDGE,482000,482000,547500,614500,714000,731000,700000,775000,900000,950000,896500,30,Sim,Não,Middle ring,-1.96%,28.57%,-0.39%,Train only,1,0,0
INDENTED HEAD,390000,385000,382500,395000,455000,575500,606000,590000,752500,995000,820000,Regional Victoria,#N/A,#N/A,Regional Victoria,33.19%,24.17%,8.97%,#N/A,#N/A,#N/A,#N/A
INGLEWOOD,160000,145000,200000,152500,182500,180000,185000,214000,320000,390000,325000,Regional Victoria,#N/A,#N/A,Regional Victoria,1.37%,72.97%,1.56%,#N/A,#N/A,#N/A,#N/A
INVERLOCH,431000,440000,425000,442500,495000,598000,590000,665000,891000,992500,950000,Regional Victoria,#N/A,#N/A,Regional Victoria,19.19%,51.02%,6.62%,#N/A,#N/A,#N/A,#N/A
INVERMAY PARK,378000,387000,405000,377500,391000,465000,475000,485000,680000,670000,695000,Regional Victoria,#N/A,#N/A,Regional Victoria,21.48%,43.16%,2.21%,#N/A,#N/A,#N/A,#N/A
IRONBARK,277000,280000,292500,365000,280000,320000,304000,438500,523000,525000,530000,Regional Victoria,#N/A,#N/A,Regional Victoria,8.57%,72.04%,1.34%,#N/A,#N/A,#N/A,#N/A
IRYMPLE,248000,228500,268000,257500,291000,310000,386500,354000,431000,455000,496500,Regional Victoria,#N/A,#N/A,Regional Victoria,32.82%,11.51%,15.20%,#N/A,#N/A,#N/A,#N/A
IVANHOE,1090000,1203000,1120000,1400000,1537500,1600000,1590000,1640000,1900000,1922500,1732500,9,Sim,Não,Inner city,3.41%,19.50%,-8.82%,Train only,1,0,0
IVANHOE EAST,1310000,1513000,1535000,1764500,1975000,1914000,1775000,2055000,2225000,2262500,2406500,10,Sim,Não,Inner city,-10.13%,25.35%,8.16%,Train only,1,0,0
JACANA,334000,342500,375000,423000,571500,555000,512500,555000,626000,642500,586500,14,Sim,Não,Inner suburbs,-10.32%,22.15%,-6.31%,Train only,1,0,0
JACKASS FLAT,287500,345000,350500,345500,299000,310000,331500,401000,460000,520000,515000,Regional Victoria,#N/A,#N/A,Regional Victoria,10.87%,38.76%,11.96%,#N/A,#N/A,#N/A,#N/A
JAMIESON,205000,210000,258500,220000,266500,265000,311500,345000,410000,625000,582500,Regional Victoria,#N/A,#N/A,Regional Victoria,16.89%,31.62%,42.07%,#N/A,#N/A,#N/A,#N/A
JAN JUC,555000,595000,615000,716000,850000,905000,870000,964000,1337000,1400000,1290000,Regional Victoria,#N/A,#N/A,Regional Victoria,2.35%,53.68%,-3.52%,#N/A,#N/A,#N/A,#N/A
JEERALANG NORTH,145500,187500,175000,140000,248000,170000,235000,240000,283500,415000,366000,Regional Victoria,#N/A,#N/A,Regional Victoria,-5.24%,20.64%,29.10%,#N/A,#N/A,#N/A,#N/A
JEPARIT,80500,63000,89000,124000,66500,77000,81000,110000,129000,150000,215000,Regional Victoria,#N/A,#N/A,Regional Victoria,21.80%,59.26%,66.67%,#N/A,#N/A,#N/A,#N/A
JOLIMONT,2625000,2637500,2237500,3252500,4575000,3950000,4125000,4575000,5225000,3775000,4533500,1,Sim,Sim,Inner city,-9.84%,26.67%,-13.23%,Train and Tram,1,1,1
JUNCTION VILLAGE,312000,320000,370000,389000,436000,509000,483500,515000,605000,635000,645000,47,Não,Não,Fringe,10.89%,25.13%,6.61%,None,0,0,0
JUNORTOUN,490000,508500,417500,490000,512500,506500,530000,599000,682000,885000,865000,Regional Victoria,#N/A,#N/A,Regional Victoria,3.41%,28.68%,26.83%,#N/A,#N/A,#N/A,#N/A
KALIMNA,230000,285000,300000,270000,276500,326500,292500,350000,467000,510000,462500,Regional Victoria,#N/A,#N/A,Regional Victoria,5.79%,59.66%,-0.96%,#N/A,#N/A,#N/A,#N/A
KALKALLO,450000,450000,180000,432500,529500,548000,535000,555000,606000,645000,640000,31,Não,Não,Outer ring,1.04%,13.27%,5.61%,None,0,0,0
KALLISTA,425000,465000,523000,567500,676000,737500,700000,715000,910000,1000000,832500,40,Não,Não,Outer ring,3.55%,30.00%,-8.52%,None,0,0,0
KALORAMA,442500,451000,496000,533000,670000,686500,645000,697500,822500,1022500,885000,40,Não,Não,Outer ring,-3.73%,27.52%,7.60%,None,0,0,0
KANGAROO FLAT,292500,300000,303000,300000,310000,325000,340000,380000,465000,535000,500000,Regional Victoria,#N/A,#N/A,Regional Victoria,9.68%,36.76%,7.53%,#N/A,#N/A,#N/A,#N/A
KANGAROO GROUND SOUTH,615000,655000,650000,670000,853500,930000,815500,970000,1217000,1130000,1100000,Regional Victoria,#N/A,#N/A,Regional Victoria,-4.45%,49.23%,-9.61%,#N/A,#N/A,#N/A,#N/A
KANIVA,75000,87500,100000,125000,157500,164000,169500,115000,174000,205000,200000,Regional Victoria,#N/A,#N/A,Regional Victoria,7.62%,2.65%,14.94%,#N/A,#N/A,#N/A,#N/A
KATUNGA,229000,155000,156000,167500,92000,180000,330000,225000,200000,327500,290000,Regional Victoria,#N/A,#N/A,Regional Victoria,258.70%,-39.39%,45.00%,#N/A,#N/A,#N/A,#N/A
KEALBA,370000,390000,400000,470000,595000,612000,596000,600000,660000,705000,670000,16,Não,Não,Inner suburbs,0.17%,10.74%,1.52%,None,0,0,0
KEILOR,572500,633000,703000,805000,845000,817000,836500,885000,1070500,1000000,1132500,18,Não,Não,Inner suburbs,-1.01%,27.97%,5.79%,None,0,0,0
KEILOR DOWNS,403500,429000,496500,562000,670000,661000,630000,660000,767500,760500,770000,19,Não,Não,Inner suburbs,-5.97%,21.83%,0.33%,None,0,0,0
KEILOR EAST,560000,599000,651000,720000,843000,830000,835000,842000,1000000,1000000,980000,14,Não,Não,Inner suburbs,-0.95%,19.76%,-2.00%,None,0,0,0
KEILOR LODGE,490000,500000,555500,607500,760000,715000,740000,757500,865000,880000,920000,20,Não,Não,Inner suburbs,-2.63%,16.89%,6.36%,None,0,0,0
KEILOR PARK,455000,512500,565000,650000,741000,770000,704000,735000,820500,892500,795000,15,Não,Não,Inner suburbs,-4.99%,16.55%,-3.11%,None,0,0,0
KENNINGTON,351500,345000,334000,355000,372000,383500,374000,428500,550000,593000,610000,Regional Victoria,#N/A,#N/A,Regional Victoria,0.54%,47.06%,10.91%,#N/A,#N/A,#N/A,#N/A
KENSINGTON,690000,737500,823500,908000,1019000,1020000,978000,1106500,1165000,1200000,1040000,3,Sim,Sim,Inner city,-4.02%,19.12%,-10.73%,Train and Tram,1,1,1
KERANG,152000,145000,152000,167000,160000,177000,170000,200000,239000,275500,280000,Regional Victoria,#N/A,#N/A,Regional Victoria,6.25%,40.59%,17.15%,#N/A,#N/A,#N/A,#N/A
KEW,1751000,1950000,2080000,2207500,2317500,2380000,2310000,2251500,2780000,2920000,2905000,6,Não,Sim,Inner city,-0.32%,20.35%,4.50%,Tram only,0,1,0
KEW EAST,1210000,1314000,1600000,1655000,1876000,1800000,1837000,1785000,1990000,2040000,2200000,7,Não,Sim,Inner city,-2.08%,8.33%,10.55%,Tram only,0,1,0
KEW NORTH,1260000,1301000,1665000,1827500,1880000,1767500,1833000,1840000,2097000,2255000,2237500,Regional Victoria,#N/A,#N/A,Regional Victoria,-2.50%,14.40%,6.70%,#N/A,#N/A,#N/A,#N/A
KEYSBOROUGH,435000,456500,559500,650000,730000,745000,735000,750000,849000,891000,913500,25,Não,Não,Middle ring,0.68%,15.51%,7.60%,None,0,0,0
KIALLA,360000,365000,367500,374000,390000,418000,450000,482500,543000,640000,650000,Regional Victoria,#N/A,#N/A,Regional Victoria,15.38%,20.67%,19.71%,#N/A,#N/A,#N/A,#N/A
KILCUNDA,375000,320000,400000,480000,504000,496000,533000,702500,865000,900000,810000,Regional Victoria,#N/A,#N/A,Regional Victoria,5.75%,62.29%,-6.36%,#N/A,#N/A,#N/A,#N/A
KILLARA (WODONGA),351000,346000,360000,425000,400000,420000,453500,447500,560000,658500,650000,Regional Victoria,#N/A,#N/A,Regional Victoria,13.38%,23.48%,16.07%,#N/A,#N/A,#N/A,#N/A
KILMORE,327500,319000,336500,333000,387500,440000,435000,477000,548000,600000,590000,Regional Victoria,#N/A,#N/A,Regional Victoria,12.26%,25.98%,7.66%,#N/A,#N/A,#N/A,#N/A
KILSYTH,435000,460000,548500,620000,698500,685500,645000,677500,781000,840000,810000,30,Não,Não,Middle ring,-7.66%,21.09%,3.71%,None,0,0,0
KILSYTH SOUTH,542500,575000,676000,738000,845000,826000,780500,870000,977500,1080000,1045000,31,Não,Não,Outer ring,-7.63%,25.24%,6.91%,None,0,0,0
KINGLAKE,330000,318000,340000,346000,458000,480000,555000,600000,640000,770000,662500,57,Não,Não,Fringe,21.18%,15.32%,3.52%,None,0,0,0
KINGS PARK,315000,325000,355000,415000,532500,550000,510000,550000,600000,630000,600000,20,Não,Não,Inner suburbs,-4.23%,17.65%,0.00%,None,0,0,0
KINGSBURY,470000,502500,560000,610000,731000,730000,660000,732500,850000,782000,785000,12,Não,Não,Inner suburbs,-9.71%,28.79%,-7.65%,None,0,0,0
KINGSVILLE,635000,703500,785000,925000,1020000,990000,1010000,970000,1225000,1287500,1200000,6,Não,Sim,Inner city,-0.98%,21.29%,-2.04%,Tram only,0,1,0
KNOXFIELD,500000,580000,681000,741000,870000,815000,760000,810000,980000,970000,950000,27,Não,Não,Middle ring,-12.64%,28.95%,-3.06%,None,0,0,0
KOO WEE RUP,315000,335000,345000,400000,450500,508500,550000,540000,610000,700000,668500,62,Não,Não,Fringe,22.09%,10.91%,9.59%,None,0,0,0
KOONDROOK,147500,155000,198500,165000,247500,268000,212500,254000,320000,320000,320000,Regional Victoria,#N/A,#N/A,Regional Victoria,-14.14%,50.59%,0.00%,#N/A,#N/A,#N/A,#N/A
KOROIT,275000,300000,296000,294000,325000,352000,347500,390000,490000,580000,582500,Regional Victoria,#N/A,#N/A,Regional Victoria,6.92%,41.01%,18.88%,#N/A,#N/A,#N/A,#N/A
KORUMBURRA,236000,222500,262500,257500,292000,317500,320000,391000,480000,525000,550000,Regional Victoria,#N/A,#N/A,Regional Victoria,9.59%,50.00%,14.58%,#N/A,#N/A,#N/A,#N/A
KURUNJANG,287000,280000,289500,310000,370000,435000,420000,432000,485000,550000,520000,37,Não,Não,Outer ring,13.51%,15.48%,7.22%,None,0,0,0
KYABRAM,237000,235000,240000,234000,239000,261000,263000,280000,319500,400000,455000,Regional Victoria,#N/A,#N/A,Regional Victoria,10.04%,21.48%,42.41%,#N/A,#N/A,#N/A,#N/A
KYNETON,369000,400000,425500,455000,495000,550000,595000,614000,755000,897500,775000,Regional Victoria,#N/A,#N/A,Regional Victoria,20.20%,26.89%,2.65%,#N/A,#N/A,#N/A,#N/A
LAKE BOGA,200000,143500,245000,222500,182500,232500,239000,230000,320000,391000,446000,Regional Victoria,#N/A,#N/A,Regional Victoria,30.96%,33.89%,39.38%,#N/A,#N/A,#N/A,#N/A
LAKE BUNGA,197500,162500,270000,270000,392500,380000,300000,350000,600000,650000,525000,Regional Victoria,#N/A,#N/A,Regional Victoria,-23.57%,100.00%,-12.50%,#N/A,#N/A,#N/A,#N/A
LAKE GARDENS,445000,445000,461000,485000,461500,575000,552500,607500,705000,738500,785000,Regional Victoria,#N/A,#N/A,Regional Victoria,19.72%,27.60%,11.35%,#N/A,#N/A,#N/A,#N/A
LAKE TYERS BEACH,270000,354000,330000,268500,362500,300000,357500,375000,505000,645000,590000,Regional Victoria,#N/A,#N/A,Regional Victoria,-1.38%,41.26%,16.83%,#N/A,#N/A,#N/A,#N/A
LAKE WENDOUREE,634000,650000,685000,700000,795000,775000,855000,1000000,1230000,1275000,1300000,Regional Victoria,#N/A,#N/A,Regional Victoria,7.55%,43.86%,5.69%,#N/A,#N/A,#N/A,#N/A
LAKES ENTRANCE,269500,254000,255500,280000,281500,328000,300000,350000,422500,540000,512500,Regional Victoria,#N/A,#N/A,Regional Victoria,6.57%,40.83%,21.30%,#N/A,#N/A,#N/A,#N/A
LALOR,365000,385000,445000,499500,625500,625000,590000,623000,700000,700000,680000,19,Sim,Não,Inner suburbs,-5.68%,18.64%,-2.86%,Train only,1,0,0
LANCEFIELD,377500,362000,360000,360000,416000,456000,500000,540000,685000,671500,625000,Regional Victoria,#N/A,#N/A,Regional Victoria,20.19%,37.00%,-8.76%,#N/A,#N/A,#N/A,#N/A
LANG LANG,285000,295000,316500,355000,390000,475000,495000,540000,657000,720000,707500,Regional Victoria,#N/A,#N/A,Regional Victoria,26.92%,32.73%,7.69%,#N/A,#N/A,#N/A,#N/A
LANGWARRIN,385000,420000,450000,503000,600000,642500,610000,660000,805000,860000,835000,40,Não,Não,Outer ring,1.67%,31.97%,3.73%,None,0,0,0
LARA,350000,340000,348000,355000,430000,515000,495000,535000,682500,700000,682500,67,Não,Não,Fringe,15.12%,37.88%,0.00%,None,0,0,0
LARA LAKE,363000,398000,375000,395000,450500,525000,535500,575000,663000,702000,710000,Regional Victoria,#N/A,#N/A,Regional Victoria,18.87%,23.81%,7.09%,#N/A,#N/A,#N/A,#N/A
LAUNCHING PLACE,330000,337500,366000,435000,490000,531000,554000,572500,688500,778500,650000,55,Não,Não,Fringe,13.06%,24.28%,-5.59%,None,0,0,0
LAVERTON,325000,358000,377500,429000,535000,579000,529000,560000,605000,610000,585000,18,Sim,Não,Inner suburbs,-1.12%,14.37%,-3.31%,Train only,1,0,0
LAVERTON SOUTH,391500,425000,450000,528500,607500,646000,622500,647500,730000,751000,735000,19,Não,Não,Inner suburbs,2.47%,17.27%,0.68%,None,0,0,0
LENEVA,361500,372500,370500,376000,397500,387500,426000,470000,554000,650000,685000,Regional Victoria,#N/A,#N/A,Regional Victoria,7.17%,30.05%,23.65%,#N/A,#N/A,#N/A,#N/A
LEONGATHA,300000,295500,305000,305000,320000,360000,370000,426000,505000,589000,580000,Regional Victoria,#N/A,#N/A,Regional Victoria,15.63%,36.49%,14.85%,#N/A,#N/A,#N/A,#N/A
LEOPOLD,360000,366500,365000,407000,447000,500500,510000,535000,652000,709000,680000,Regional Victoria,#N/A,#N/A,Regional Victoria,14.09%,27.84%,4.29%,#N/A,#N/A,#N/A,#N/A
LILYDALE,469000,482500,534000,633500,710500,705000,675500,710000,844500,870000,926000,34,Sim,Não,Outer ring,-4.93%,25.02%,9.65%,Train only,1,0,0
LINDENOW,200000,226000,212500,212000,245000,313500,282500,282500,385000,466000,372500,Regional Victoria,#N/A,#N/A,Regional Victoria,15.31%,36.28%,-3.25%,#N/A,#N/A,#N/A,#N/A
LISMORE,110000,109000,115000,141500,155000,132500,144500,220000,176000,277500,255000,Regional Victoria,#N/A,#N/A,Regional Victoria,-6.77%,21.80%,44.89%,#N/A,#N/A,#N/A,#N/A
LOCH SPORT,166000,153500,145000,178000,182000,230000,245000,247000,324500,392500,390000,Regional Victoria,#N/A,#N/A,Regional Victoria,34.62%,32.45%,20.18%,#N/A,#N/A,#N/A,#N/A
LONG GULLY,230000,255000,244000,240000,256000,269000,280000,299500,385000,451500,400000,Regional Victoria,#N/A,#N/A,Regional Victoria,9.38%,37.50%,3.90%,#N/A,#N/A,#N/A,#N/A
LONGWARRY,289500,297500,307000,334000,377000,403000,406000,427500,512500,575000,570000,Regional Victoria,#N/A,#N/A,Regional Victoria,7.69%,26.23%,11.22%,#N/A,#N/A,#N/A,#N/A
LORNE,840000,815000,895000,765000,1150000,1275000,1297500,1497500,1960000,2200000,1925000,Regional Victoria,#N/A,#N/A,Regional Victoria,12.83%,51.06%,-1.79%,#N/A,#N/A,#N/A,#N/A
LOVELY BANKS,360500,406500,388500,470000,460000,525000,570000,565000,662500,767500,690000,Regional Victoria,#N/A,#N/A,Regional Victoria,23.91%,16.23%,4.15%,#N/A,#N/A,#N/A,#N/A
LOWER PLENTY,680500,675000,770000,900000,980000,1055000,950000,909500,1220000,1350000,1319000,16,Não,Não,Inner suburbs,-3.06%,28.42%,8.11%,None,0,0,0
LUCAS,348000,355000,389000,345000,349500,395000,431000,465000,582500,705000,640000,Regional Victoria,#N/A,#N/A,Regional Victoria,23.32%,35.15%,9.87%,#N/A,#N/A,#N/A,#N/A
LUCKNOW,235000,229000,230000,244500,261500,280000,275000,314500,355000,449000,400000,Regional Victoria,#N/A,#N/A,Regional Victoria,5.16%,29.09%,12.68%,#N/A,#N/A,#N/A,#N/A
LYNBROOK,430000,460000,500000,542500,595000,640000,623000,660000,750000,810000,814500,40,Não,Não,Outer ring,4.71%,20.39%,8.60%,None,0,0,0
LYNDHURST,465000,482500,550000,585000,625000,695000,665500,701500,815500,950000,905000,38,Não,Não,Outer ring,6.48%,22.54%,10.97%,None,0,0,0
LYSTERFIELD,681500,670000,780000,857500,995500,976500,956500,994500,1132000,1267500,1305000,35,Não,Não,Outer ring,-3.92%,18.35%,15.28%,None,0,0,0
LYSTERFIELD SOUTH,931500,1000000,1018500,1240000,1300000,1275000,775000,1410000,1618000,1844000,1925500,36,Não,Não,Outer ring,-40.38%,108.77%,19.00%,None,0,0,0
MACEDON,490000,460000,532500,585000,696000,815000,800000,883000,1130000,1073000,1105000,Regional Victoria,#N/A,#N/A,Regional Victoria,14.94%,41.25%,-2.21%,#N/A,#N/A,#N/A,#N/A
MACLEOD,647500,705000,755000,868000,950000,922500,922500,972500,1156500,1135000,1150000,14,Sim,Não,Inner suburbs,-2.89%,25.37%,-0.56%,Train only,1,0,0
MADDINGLEY,316500,320000,332500,345000,395000,442000,460000,521000,560000,635000,625000,Regional Victoria,#N/A,#N/A,Regional Victoria,16.46%,21.74%,11.61%,#N/A,#N/A,#N/A,#N/A
MAFFRA,229000,215000,230000,258000,251500,261500,255000,315000,338000,376500,425000,Regional Victoria,#N/A,#N/A,Regional Victoria,1.39%,32.55%,25.74%,#N/A,#N/A,#N/A,#N/A
MAIDEN GULLY,440000,415000,430000,477000,471000,495500,514000,579000,725000,760000,797500,Regional Victoria,#N/A,#N/A,Regional Victoria,9.13%,41.05%,10.00%,#N/A,#N/A,#N/A,#N/A
MAIDSTONE,535000,587500,630000,695000,825000,798500,779000,789500,852500,888000,895000,7,Não,Sim,Inner city,-5.58%,9.44%,4.99%,Tram only,0,1,0
MALDON,315000,325000,339000,385000,426500,420000,510000,546500,624500,735500,742500,Regional Victoria,#N/A,#N/A,Regional Victoria,19.58%,22.45%,18.90%,#N/A,#N/A,#N/A,#N/A
MALLACOOTA,285000,285000,288500,325000,345000,280000,406500,415000,488500,527500,555000,Regional Victoria,#N/A,#N/A,Regional Victoria,17.83%,20.17%,13.61%,#N/A,#N/A,#N/A,#N/A
MALMSBURY,292500,317500,397500,344000,447000,465000,475000,505000,757500,785000,767500,Regional Victoria,#N/A,#N/A,Regional Victoria,6.26%,59.47%,1.32%,#N/A,#N/A,#N/A,#N/A
