Locality,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Dist,Train,Tram,Group,Pré,Pan,Pós,Transport,Train,Tram,Bouth
BEACONSFIELD UPPER,470000,507500,602500,630000,725500,903500,787500,818000,900000,1205000,1202500,47,Não,Não,Fringe,8.55%,14.29%,33.61%,None,0,0,0
BEAUFORT,186000,220000,205000,237500,220000,225000,242500,325000,390000,415000,405000,Regional Victoria,#N/A,#N/A,Regional Victoria,10.23%,60.82%,3.85%,#N/A,#N/A,#N/A,#N/A
BEAUMARIS,1072000,1129500,1345000,1455000,1611000,1674000,1587500,1725000,2100000,2061000,2040000,18,Não,Não,Inner suburbs,-1.46%,32.28%,-2.86%,None,0,0,0
BEECHWORTH,295000,295000,332000,345000,399000,400000,478500,487500,645000,707000,730000,Regional Victoria,#N/A,#N/A,Regional Victoria,19.92%,34.80%,13.18%,#N/A,#N/A,#N/A,#N/A
BELGRAVE,410000,426000,482500,545000,620000,676000,636000,680000,784000,850000,815000,40,Sim,Não,Outer ring,2.58%,23.27%,3.95%,Train only,1,0,0
BELGRAVE HEIGHTS,430000,480000,590500,624000,687500,701500,685000,737500,902500,1055500,850000,41,Não,Não,Fringe,-0.36%,31.75%,-5.82%,None,0,0,0
BELGRAVE SOUTH,548000,541000,555500,565000,689000,782500,665500,845000,1085000,919000,1125000,41,Não,Não,Fringe,-3.41%,63.04%,3.69%,None,0,0,0
BELL PARK,314000,323500,340000,360000,400000,452500,482000,500000,620500,640000,610000,Regional Victoria,#N/A,#N/A,Regional Victoria,20.50%,28.73%,-1.69%,#N/A,#N/A,#N/A,#N/A
BELL POST HILL,328000,333500,344500,355000,435000,487000,475000,507000,657500,675000,620000,Regional Victoria,#N/A,#N/A,Regional Victoria,9.20%,38.42%,-5.70%,#N/A,#N/A,#N/A,#N/A
BELLFIELD (BANYULE),516000,582500,700000,778000,897000,882500,790000,775000,992500,965000,944000,9,Não,Não,Inner city,-11.93%,25.63%,-4.89%,None,0,0,0
BENALLA,228000,235500,222500,231500,250000,284000,290000,302000,394000,430500,430000,Regional Victoria,#N/A,#N/A,Regional Victoria,16.00%,35.86%,9.14%,#N/A,#N/A,#N/A,#N/A
BENDIGO,340000,376500,372000,400000,400000,400000,420000,500000,600000,690000,540000,Regional Victoria,#N/A,#N/A,Regional Victoria,5.00%,42.86%,-10.00%,#N/A,#N/A,#N/A,#N/A
BENTLEIGH,900000,1050000,1245000,1380000,1470000,1394000,1376000,1510000,1742500,1723000,1690000,13,Sim,Não,Inner suburbs,-6.39%,26.64%,-3.01%,Train only,1,0,0
BENTLEIGH EAST,750000,850000,1000500,1115000,1256000,1205000,1200000,1255000,1480000,1490000,1430000,14,Não,Não,Inner suburbs,-4.46%,23.33%,-3.38%,None,0,0,0
BERWICK,453000,487500,535000,583000,670000,690000,670000,700000,812000,870000,855000,42,Sim,Não,Fringe,0.00%,21.19%,5.30%,Train only,1,0,0
BEVERIDGE,396000,351500,400000,430000,495000,540000,580000,531000,630000,650000,650000,47,Não,Não,Fringe,17.17%,8.62%,3.17%,None,0,0,0
BIRCHIP,120000,90000,121500,55000,100000,100000,108500,121500,130000,170000,225000,Regional Victoria,#N/A,#N/A,Regional Victoria,8.50%,19.82%,73.08%,#N/A,#N/A,#N/A,#N/A
BIRREGURRA,255000,337500,302500,345000,382500,412500,463000,489500,692500,700000,850000,Regional Victoria,#N/A,#N/A,Regional Victoria,21.05%,49.57%,22.74%,#N/A,#N/A,#N/A,#N/A
BITTERN,402000,390000,382500,464000,526500,650000,577500,630000,750000,832500,850000,57,Sim,Não,Fringe,9.69%,29.87%,13.33%,Train only,1,0,0
BLACK HILL,283500,321500,300000,315000,370000,405000,492500,491000,550000,642500,626000,Regional Victoria,#N/A,#N/A,Regional Victoria,33.11%,11.68%,13.82%,#N/A,#N/A,#N/A,#N/A
BLACK ROCK,1237500,1400000,1545000,1745000,2017500,2029000,1793000,1920000,2600000,2565000,2287500,16,Não,Não,Inner suburbs,-11.13%,45.01%,-12.02%,None,0,0,0
BLACKBURN,860500,936000,1200500,1241000,1410000,1370500,1305000,1405000,1639500,1549500,1600000,16,Sim,Não,Inner suburbs,-7.45%,25.63%,-2.41%,Train only,1,0,0
BLACKBURN NORTH,692000,790000,921500,1040000,1140500,1038000,1017500,1090000,1300000,1230000,1284500,15,Não,Não,Inner suburbs,-10.78%,27.76%,-1.19%,None,0,0,0
